word,url,reason
ագաթ,https://hy.wiktionary.org/wiki/ագաթ,no etymology or too short
ազբ,https://hy.wiktionary.org/wiki/ազբ,unclassified
աղջիկ,https://hy.wiktionary.org/wiki/աղջիկ,no etymology or too short
անգ,https://hy.wiktionary.org/wiki/անգ,no etymology or too short
անել,https://hy.wiktionary.org/wiki/անել,no etymology or too short
անձրև,https://hy.wiktionary.org/wiki/անձրև,unclassified
անութ,https://hy.wiktionary.org/wiki/անութ,unclassified
աչք,https://hy.wiktionary.org/wiki/աչք,no etymology or too short
ապուր,https://hy.wiktionary.org/wiki/ապուր,no etymology or too short
ապտակ,https://hy.wiktionary.org/wiki/ապտակ,unclassified
առիք,https://hy.wiktionary.org/wiki/առիք,unclassified
ասք,https://hy.wiktionary.org/wiki/ասք,unclassified
ավլել,https://hy.wiktionary.org/wiki/ավլել,unclassified
արոս,https://hy.wiktionary.org/wiki/արոս,unclassified
արև,https://hy.wiktionary.org/wiki/արև,no etymology or too short
բակ,https://hy.wiktionary.org/wiki/բակ,unclassified
բայ,https://hy.wiktionary.org/wiki/բայ,unclassified
բանել,https://hy.wiktionary.org/wiki/բանել,unclassified
բաննա,https://hy.wiktionary.org/wiki/բաննա,unclassified
բառ,https://hy.wiktionary.org/wiki/բառ,unclassified
բեհեզ,https://hy.wiktionary.org/wiki/բեհեզ,unclassified
բեյթ,https://hy.wiktionary.org/wiki/բեյթ,unclassified
բիբ,https://hy.wiktionary.org/wiki/բիբ,unclassified
բիթ,https://hy.wiktionary.org/wiki/բիթ,unclassified
բլոգ,https://hy.wiktionary.org/wiki/բլոգ,unclassified
բղուղ,https://hy.wiktionary.org/wiki/բղուղ,unclassified
բմբուլ,https://hy.wiktionary.org/wiki/բմբուլ,unclassified
բնագիր,https://hy.wiktionary.org/wiki/բնագիր,unclassified
բազմանալ,https://hy.wiktionary.org/wiki/բազմանալ,unclassified
բազրիք,https://hy.wiktionary.org/wiki/բազրիք,unclassified
բաժանորդ,https://hy.wiktionary.org/wiki/բաժանորդ,unclassified
բալատուր,https://hy.wiktionary.org/wiki/բալատուր,unclassified
բաղկանալ,https://hy.wiktionary.org/wiki/բաղկանալ,unclassified
բաղձալ,https://hy.wiktionary.org/wiki/բաղձալ,unclassified
բաղձանք,https://hy.wiktionary.org/wiki/բաղձանք,unclassified
բաղնիք,https://hy.wiktionary.org/wiki/բաղնիք,no etymology or too short
բարեկամ,https://hy.wiktionary.org/wiki/բարեկամ,unclassified
բարևել,https://hy.wiktionary.org/wiki/բարևել,unclassified
բացառել,https://hy.wiktionary.org/wiki/բացառել,unclassified
բացել,https://hy.wiktionary.org/wiki/բացել,unclassified
բժշկել,https://hy.wiktionary.org/wiki/բժշկել,unclassified
բյուրեղյա,https://hy.wiktionary.org/wiki/բյուրեղյա,unclassified
բյուրեղացնել,https://hy.wiktionary.org/wiki/բյուրեղացնել,unclassified
բյուրեղացում,https://hy.wiktionary.org/wiki/բյուրեղացում,unclassified
բնություն,https://hy.wiktionary.org/wiki/բնություն,unclassified
բնութագիր,https://hy.wiktionary.org/wiki/բնութագիր,unclassified
բնութագրել,https://hy.wiktionary.org/wiki/բնութագրել,no etymology or too short
բնութագիրք,https://hy.wiktionary.org/wiki/բնութագիրք,no etymology or too short
բնութագիրություն,https://hy.wiktionary.org/wiki/բնութագիրություն,no etymology or too short
բնութագիրական,https://hy.wiktionary.org/wiki/բնութագիրական,no etymology or too short
բնութագիրականություն,https://hy.wiktionary.org/wiki/բնութագիրականություն,no etymology or too short
բնութագիրականորեն,https://hy.wiktionary.org/wiki/բնութագիրականորեն,no etymology or too short
